標題,問題,回答,主題分類,主題分類_字串,主題數量,回答內容摘要,醫生名稱,回答時間,對應子問題,主題判斷
#61055 馬桶有螞蟻?,最近發現在我租的處所廁所馬桶裡的水都會有螞蟻，起初我以為是不是我得了糖尿病引來的，但是後來我馬桶水沖了好多次，也用蓮蓬頭沖洗馬桶了，但是還是有螞蟻喜歡跑進馬桶水裡，請問這是什麼情況呢?,螞蟻會親近甜的食物或相關的物質。因此，貴府的馬桶有持續螞蟻的存在。可能要勞駕閣下仔細探查。,['糖尿病類型'],糖尿病類型,2,糖尿病需依臨床症狀及檢驗確診，螞蟻聚集可能與糖尿病或其他疾病相關，建議與家庭醫師討論。,蕭永薰,2010/8/25,螞蟻是否因糖尿病患者的尿液含糖量較高而聚集？,血糖管理
#61055 馬桶有螞蟻?,最近發現在我租的處所廁所馬桶裡的水都會有螞蟻，起初我以為是不是我得了糖尿病引來的，但是後來我馬桶水沖了好多次，也用蓮蓬頭沖洗馬桶了，但是還是有螞蟻喜歡跑進馬桶水裡，請問這是什麼情況呢?,是不是有糖尿病？必須根據臨床症狀及檢驗才能確知。除了糖尿病之外，某一些疾病或異常分泌物，也會招來螞蟻。因此希望您先與您的家庭醫師討論，再做定奪。,['糖尿病類型'],糖尿病類型,2,糖尿病需依臨床症狀及檢驗確診，螞蟻聚集可能與糖尿病或其他疾病相關，建議與家庭醫師討論。,蕭永薰,2010/8/25,哪些臨床症狀或檢驗可以幫助判斷是否患有糖尿病或其他疾病？,請洽詢專業醫療人員
#38094 甜食是否也會引起身體不適?,"您好:
我最近發現,只要喝完奶茶,豆漿...等較甜的飲品,我的身體就會出現心悸,無力感等現象,但經過一個多小時後,症狀就會消失,我想要了解這跟糖尿病有關嗎?如果我要到醫院諮詢的話,應該掛那一科呢?
謝謝您撥冗回覆,祝您工作愉快

新竹綠豆",糖尿病的症狀包括多食、多飲、多尿、體重減輕、傷口不易痊癒、口渴等等。如果出現急性的併發症，會發生糖尿病酮酸中毒或高血糖高滲透壓非酮酸性昏迷；如果是慢性的併發症，就可能出現視力模湖、手麻腳麻、心臟病、慢性腎衰竭、腦缺氧、上腹不適等等症狀。,['併發症'],併發症,3,糖尿病症狀包括多食、多飲、多尿等，可能引發急性或慢性併發症，建議出現相關症狀時與家庭醫師或內科醫師討論。,蕭永薰,2006/2/6,糖尿病的急性和慢性併發症有哪些具體症狀？,併發症
#38094 甜食是否也會引起身體不適?,"您好:
我最近發現,只要喝完奶茶,豆漿...等較甜的飲品,我的身體就會出現心悸,無力感等現象,但經過一個多小時後,症狀就會消失,我想要了解這跟糖尿病有關嗎?如果我要到醫院諮詢的話,應該掛那一科呢?
謝謝您撥冗回覆,祝您工作愉快

新竹綠豆",閣下喝完奶茶、豆漿等甜品，會出現心悸、無力感的現象。除了考慮是否為糖尿病之外，還要注意腸胃的問題、有否接受過手術、內分泌問題、身體本身的其他疾病等等。,['併發症'],併發症,3,糖尿病症狀包括多食、多飲、多尿等，可能引發急性或慢性併發症，建議出現相關症狀時與家庭醫師或內科醫師討論。,蕭永薰,2006/2/6,喝甜品後出現心悸和無力感是否與血糖波動或內分泌問題有關？,血糖管理
#22123 糖尿病洗血有效,"糖尿病洗血有幫助嗎,日子久了是否會有後遺症?",糖尿病分成四大類，只有第1型的糖尿病因是自體抗元抗體反應引起的，故「洗血」把抗體洗掉，理論上可減輕免疫反應，而改善糖尿病的症狀，但終生都必須接受「洗血」過程當然也會有併發症發生（如動靜脈廔管引起的心衰竭，或敗血的可能…等。另外龐大的費用（短期內健保局不可能給付）也非一般人擔當得起。,"['糖尿病類型', '併發症']","糖尿病類型, 併發症",3,第1型糖尿病可透過「洗血」減輕免疫反應，但需終生治療，可能引發併發症且費用高昂，未來技術或可改善。,陳景文,2004/5/4,第1型糖尿病患者接受洗血治療可能會有哪些併發症？,併發症
#60874 胃繞道與糖尿病,"請問蕭醫師
新聞上有播施行胃繞道手術可治療第二型糖尿病
Q1:是真的嗎
Q2:衛生署有核可這樣的手術嗎?
Q3:有哪幾家醫院是核可的?
Q4:臨床試驗階段可以向病患收費嗎?
十分感謝",目前未聽說執行胃繞道手術足以治療第二型糖尿病，請洽詢專業醫療人員,['糖尿病類型'],糖尿病類型,1,胃繞道手術尚不足以治療第二型糖尿病。,蕭永薰,2010/8/10,胃繞道手術是否能治療第二型糖尿病？衛生署是否核可此手術？有哪些醫院核可？臨床試驗階段是否可以向病患收費？,請洽詢專業醫療人員
#136978 請問糖尿病患者可以跑步並參加路跑嗎？,林醫師您好，非常感恩您在百忙之中對上一個問題(#136924 請問糖尿病用藥情形？)的回覆，另外再請問糖尿病患者的日常運動可以跑步並適合參加路跑嗎？這種運動會造成血糖上升、糖尿病惡化嗎？我希望能夠透過跑步來調整控制血糖情形，在此亦先感謝林醫師能在百忙之中撥空回覆，感謝您了。,運動可提高身體對胰島素的敏感性，不僅不會造成血糖上升，反而可以促進糖份進入細胞中降低血糖濃度，強化身體對血糖的調控，也有機會減少服用藥物劑量，因此適度的運動對於糖尿病的控制有正面的幫助。但是在執行運動計畫前，必須要先了解自己的健康狀況、體能狀況、以及運動環境。客觀評估自身的體能狀控，不要過度勉強，在超出體力負荷前進行適度的休息。盡量選擇安全、人多的地方運動，萬一身體不適時可以即時尋求旁人協助。,"['運動', '血糖管理']","運動, 血糖管理",4,適度運動可提高胰島素敏感性，幫助血糖控制，需評估健康狀況並遵循FITT指引，選擇安全環境，避免低血糖及運動傷害。,林吳烜,2018/7/17,糖尿病患者在運動前需要注意哪些健康狀況和安全事項？,運動
#136978 請問糖尿病患者可以跑步並參加路跑嗎？,林醫師您好，非常感恩您在百忙之中對上一個問題(#136924 請問糖尿病用藥情形？)的回覆，另外再請問糖尿病患者的日常運動可以跑步並適合參加路跑嗎？這種運動會造成血糖上升、糖尿病惡化嗎？我希望能夠透過跑步來調整控制血糖情形，在此亦先感謝林醫師能在百忙之中撥空回覆，感謝您了。,如果平時血糖控制不佳，容易有過高或過低的狀況，是不建議進行運動的。而運動時間若較長或強度較高，必須要適度補充食物以避免低血糖的發生。此外運動前要先了解平時血壓狀況，血壓過高也不建議貿然進行運動，以免誘發心血管疾病。,"['運動', '血糖管理']","運動, 血糖管理",4,適度運動可提高胰島素敏感性，幫助血糖控制，需評估健康狀況並遵循FITT指引，選擇安全環境，避免低血糖及運動傷害。,林吳烜,2018/7/17,血糖控制不佳時是否可以進行運動？運動前需要注意哪些健康指標？,運動
#136978 請問糖尿病患者可以跑步並參加路跑嗎？,林醫師您好，非常感恩您在百忙之中對上一個問題(#136924 請問糖尿病用藥情形？)的回覆，另外再請問糖尿病患者的日常運動可以跑步並適合參加路跑嗎？這種運動會造成血糖上升、糖尿病惡化嗎？我希望能夠透過跑步來調整控制血糖情形，在此亦先感謝林醫師能在百忙之中撥空回覆，感謝您了。,"建議可以根據美國運動醫學會(ACSM)公布的運動指引FITT來擬訂運動計畫，同時在運動過程中，慢慢摸索出適合自己的運動強度、時間與運動頻率。FITT為：運動頻率(Frequency, F)，美國糖尿病醫學會建議每周至少做2-3天的阻力運動，加上至少150分鐘的中強度有氧運動。一次的有氧運動可以增加胰島素敏感性的影響約48小時，最好一周運動5天，一天30分鐘為佳。運動強度(Intensity, I)，運動強度可簡單分類為低、中、高三種，一般糖尿病沒有併發症患者，建議可從中等強度開始執行。中等強度的簡易判斷方法為：運動過程中可順利說話，但是唱歌會喘。養成運動習慣後，再慢慢的增加強度為運動時說話會喘的強度。運動時間(Time, T)，運動時間建議在飯後2小時最佳，避免空腹運動導致低血糖的情況發生。若是習慣在早餐前運動者，請先吃少量的食物，以免發生低血糖。每次運動建議要有5-10分鐘的暖身與緩和運動，避免運動傷害的發生。","['運動', '血糖管理']","運動, 血糖管理",4,適度運動可提高胰島素敏感性，幫助血糖控制，需評估健康狀況並遵循FITT指引，選擇安全環境，避免低血糖及運動傷害。,林吳烜,2018/7/17,如何根據FITT原則制定適合糖尿病患者的運動計畫？,運動
#136978 請問糖尿病患者可以跑步並參加路跑嗎？,林醫師您好，非常感恩您在百忙之中對上一個問題(#136924 請問糖尿病用藥情形？)的回覆，另外再請問糖尿病患者的日常運動可以跑步並適合參加路跑嗎？這種運動會造成血糖上升、糖尿病惡化嗎？我希望能夠透過跑步來調整控制血糖情形，在此亦先感謝林醫師能在百忙之中撥空回覆，感謝您了。,"運動類型(Type, T)，運動項目可以簡易分為有氧運動和阻力運動，有氧運動相較於阻力運動期乳酸產生較少，對於長期血糖控制不佳 (隨機血糖>250mg/dL)者較無高乳酸血症的風險發生。有氧運動項目包含：
走路、快走、騎腳踏車、游泳、爬樓梯、土風舞等；阻力運動包含：舉重、壺鈴、啞鈴等。","['運動', '血糖管理']","運動, 血糖管理",4,適度運動可提高胰島素敏感性，幫助血糖控制，需評估健康狀況並遵循FITT指引，選擇安全環境，避免低血糖及運動傷害。,林吳烜,2018/7/17,糖尿病患者如何選擇適合自己的有氧運動和阻力運動以降低高乳酸血症風險？,運動
