epoch,train_loss,val_loss,auc,f1,precision,recall
1,0.604830,0.620200,0.653866,0.523364,0.636364,0.444444
2,0.532053,0.549380,0.751664,0.666667,0.683333,0.650794
3,0.424347,0.545752,0.758577,0.704918,0.728814,0.682540
4,0.298528,0.616655,0.726318,0.666667,0.745098,0.603175
5,0.262810,0.638035,0.751920,0.678261,0.750000,0.619048
6,0.183126,0.723827,0.760881,0.660714,0.755102,0.587302
1,0.617606,0.635924,0.628776,0.258824,0.500000,0.174603
2,0.559364,0.590648,0.786738,0.471910,0.807692,0.333333
3,0.458288,0.615893,0.811828,0.526316,0.781250,0.396825
4,0.405878,0.688979,0.792883,0.547368,0.812500,0.412698
5,0.322352,0.610014,0.825397,0.577320,0.823529,0.444444
1,0.631890,0.658336,0.597030,0.371134,0.529412,0.285714
2,0.551599,0.650344,0.729647,0.510204,0.714286,0.396825
3,0.479778,0.589881,0.782386,0.629630,0.755556,0.539683
4,0.384267,0.655465,0.790323,0.615385,0.780488,0.507937
5,0.324749,0.647215,0.781874,0.648649,0.750000,0.571429
6,0.251704,0.600816,0.799027,0.711864,0.763636,0.666667
1,0.612864,0.666351,0.579365,0.395604,0.642857,0.285714
2,0.554288,0.618815,0.708653,0.529412,0.692308,0.428571
3,0.487621,0.629651,0.757552,0.536082,0.764706,0.412698
4,0.439160,0.659420,0.780594,0.494624,0.766667,0.365079
5,0.391574,0.590983,0.806452,0.641509,0.790698,0.539683
6,0.355433,0.586270,0.815668,0.678899,0.804348,0.587302
7,0.305716,0.600202,0.823349,0.666667,0.800000,0.571429
8,0.272088,0.612301,0.818740,0.666667,0.800000,0.571429
9,0.233140,0.672095,0.816180,0.672897,0.818182,0.571429
1,0.612379,0.630188,0.657962,0.446809,0.677419,0.333333
1,0.613584,0.635100,0.683052,0.345679,0.777778,0.222222
2,0.586989,0.645155,0.739375,0.285714,0.785714,0.174603
3,0.563374,0.587527,0.776242,0.525253,0.722222,0.412698
4,0.488058,0.605583,0.794931,0.526316,0.781250,0.396825
5,0.464764,0.575091,0.814132,0.607843,0.794872,0.492063
6,0.384449,0.626509,0.817716,0.536082,0.764706,0.412698
7,0.348726,0.610674,0.813108,0.574257,0.763158,0.460317
8,0.326251,0.641448,0.824629,0.571429,0.800000,0.444444
1,0.629313,0.670459,0.727599,0.000000,0.000000,0.000000
2,0.574276,0.587877,0.780082,0.536082,0.764706,0.412698
3,0.507218,0.567619,0.805940,0.609524,0.761905,0.507937
4,0.454316,0.508946,0.819508,0.722689,0.767857,0.682540
5,0.355424,0.618528,0.826933,0.591837,0.828571,0.460317
6,0.314952,0.527456,0.825397,0.745763,0.800000,0.698413
7,0.311868,0.580664,0.829493,0.685185,0.822222,0.587302
1,0.610819,0.667345,0.688172,0.000000,0.000000,0.000000
2,0.589072,0.596286,0.781618,0.444444,0.740741,0.317460
3,0.515277,0.557322,0.783154,0.660870,0.730769,0.603175
4,0.431690,0.554103,0.799539,0.654867,0.740000,0.587302
5,0.363291,0.574735,0.810548,0.635514,0.772727,0.539683
6,0.306814,0.570349,0.821813,0.684685,0.791667,0.603175
7,0.277146,0.613709,0.817716,0.641509,0.790698,0.539683
1,0.634242,0.654067,0.658218,0.000000,0.000000,0.000000
2,0.573331,0.601076,0.754224,0.611111,0.733333,0.523810
3,0.508656,0.618828,0.717614,0.596154,0.756098,0.492063
4,0.407367,0.603573,0.753200,0.607843,0.794872,0.492063
5,0.366361,0.583631,0.780082,0.653846,0.829268,0.539683
6,0.283419,0.602750,0.773938,0.640777,0.825000,0.523810
7,0.260507,0.616545,0.784434,0.627451,0.820513,0.507937
8,0.206092,0.616088,0.798771,0.672897,0.818182,0.571429
1,0.655086,0.624470,0.577573,0.551181,0.546875,0.555556
2,0.563794,0.613696,0.769329,0.400000,0.772727,0.269841
3,0.468927,0.524061,0.792627,0.660870,0.730769,0.603175
4,0.357155,0.654907,0.802355,0.600000,0.810811,0.476190
5,0.292240,0.519126,0.818228,0.727273,0.758621,0.698413
6,0.220800,0.640583,0.831285,0.622642,0.767442,0.523810
7,0.179487,0.626769,0.831541,0.666667,0.770833,0.587302
8,0.166316,0.606197,0.817972,0.694915,0.745455,0.650794
1,0.616710,0.641563,0.653354,0.293333,0.916667,0.174603
2,0.567883,0.613210,0.785714,0.390244,0.842105,0.253968
3,0.435920,0.593141,0.783154,0.654867,0.740000,0.587302
4,0.373463,0.712023,0.784434,0.640777,0.825000,0.523810
5,0.283615,0.684021,0.802355,0.697248,0.826087,0.603175
6,0.240300,0.645528,0.825141,0.690909,0.808511,0.603175
1,0.678610,0.640855,0.546595,0.253165,0.625000,0.158730
2,0.560255,0.625578,0.768049,0.243243,0.818182,0.142857
3,0.461725,0.590524,0.774706,0.594059,0.789474,0.476190
4,0.394940,0.732712,0.748592,0.473118,0.733333,0.349206
5,0.327308,0.643158,0.778290,0.672897,0.818182,0.571429
6,0.313356,0.654171,0.788786,0.666667,0.800000,0.571429
1,0.626410,0.629230,0.691244,0.289474,0.846154,0.174603
1,0.634697,0.620922,0.621096,0.543689,0.700000,0.444444
2,0.559169,0.577562,0.708909,0.660870,0.730769,0.603175
3,0.418640,0.526691,0.784946,0.715447,0.733333,0.698413
4,0.303522,0.632225,0.792627,0.678899,0.804348,0.587302
5,0.195651,0.667051,0.797491,0.672566,0.760000,0.603175
6,0.163825,0.784109,0.791859,0.654545,0.765957,0.571429
1,0.619720,0.593250,0.671577,0.565657,0.538462,0.595745
2,0.550133,0.539714,0.771413,0.666667,0.590164,0.765957
3,0.476829,0.492074,0.808238,0.710280,0.633333,0.808511
4,0.424913,0.443377,0.849154,0.747475,0.711538,0.787234
5,0.364541,0.420174,0.868794,0.769231,0.701754,0.851064
6,0.309112,0.383077,0.882979,0.782609,0.800000,0.765957
7,0.250540,0.366005,0.901800,0.808081,0.769231,0.851064
8,0.205974,0.366389,0.906983,0.764045,0.809524,0.723404
9,0.185033,0.372363,0.908620,0.764045,0.809524,0.723404
10,0.198514,0.368606,0.910529,0.808511,0.808511,0.808511
1,0.614607,0.583159,0.736498,0.613861,0.574074,0.659574
2,0.550855,0.507770,0.825150,0.631579,0.625000,0.638298
3,0.469301,0.425996,0.876978,0.735849,0.661017,0.829787
4,0.388130,0.390250,0.899618,0.733945,0.645161,0.851064
5,0.336664,0.371217,0.914894,0.772727,0.829268,0.723404
6,0.296477,0.349511,0.922804,0.747664,0.666667,0.851064
7,0.235353,0.320821,0.931260,0.804124,0.780000,0.829787
8,0.209744,0.327120,0.929896,0.792079,0.740741,0.851064
9,0.219477,0.315074,0.932897,0.816327,0.784314,0.851064
10,0.172982,0.313700,0.932897,0.816327,0.784314,0.851064
1,0.647171,0.622596,0.566830,0.508475,0.422535,0.638298
2,0.599642,0.572821,0.848063,0.703704,0.622951,0.808511
3,0.560449,0.505455,0.890889,0.740000,0.698113,0.787234
4,0.492179,0.434457,0.904528,0.735632,0.800000,0.680851
5,0.425991,0.369695,0.915439,0.778947,0.770833,0.787234
6,0.390745,0.359303,0.910529,0.762887,0.740000,0.787234
7,0.328624,0.336429,0.926623,0.800000,0.837209,0.765957
8,0.291588,0.323662,0.928805,0.782609,0.800000,0.765957
9,0.277400,0.321171,0.927441,0.774194,0.782609,0.765957
10,0.255049,0.319757,0.927169,0.774194,0.782609,0.765957
1,0.626047,0.601576,0.695308,0.591837,0.568627,0.617021
2,0.586932,0.547454,0.768685,0.635294,0.710526,0.574468
3,0.502217,0.485852,0.819422,0.673267,0.629630,0.723404
4,0.417247,0.444606,0.845336,0.659574,0.659574,0.659574
5,0.374650,0.418993,0.880524,0.693878,0.666667,0.723404
6,0.302595,0.394101,0.892253,0.715789,0.708333,0.723404
7,0.273919,0.386780,0.902073,0.765957,0.765957,0.765957
8,0.264970,0.383558,0.906710,0.778947,0.770833,0.787234
9,0.243071,0.384860,0.906438,0.778947,0.770833,0.787234
10,0.204827,0.382516,0.907256,0.778947,0.770833,0.787234
1,0.640042,0.597349,0.667485,0.000000,0.000000,0.000000
2,0.591946,0.559331,0.716858,0.524272,0.482143,0.574468
3,0.543320,0.490383,0.840971,0.651163,0.717949,0.595745
4,0.468498,0.420445,0.873159,0.727273,0.692308,0.765957
5,0.390846,0.404608,0.867976,0.750000,0.804878,0.702128
6,0.349823,0.376604,0.890344,0.774194,0.782609,0.765957
7,0.317681,0.373325,0.883524,0.782609,0.800000,0.765957
8,0.274171,0.376124,0.886798,0.782609,0.800000,0.765957
9,0.275151,0.376773,0.884888,0.787234,0.787234,0.787234
10,0.245045,0.373806,0.881342,0.787234,0.787234,0.787234
1,0.650140,0.583204,0.640207,0.455446,0.425926,0.489362
2,0.585064,0.528751,0.821877,0.617021,0.617021,0.617021
3,0.529431,0.487758,0.884070,0.727273,0.780488,0.680851
4,0.486788,0.451352,0.881069,0.752688,0.760870,0.744681
5,0.424820,0.421593,0.895526,0.786517,0.833333,0.744681
6,0.391273,0.403860,0.897436,0.786517,0.833333,0.744681
7,0.339318,0.381098,0.898254,0.787234,0.787234,0.787234
8,0.311820,0.376663,0.899891,0.804348,0.822222,0.787234
9,0.306068,0.359661,0.901255,0.808511,0.808511,0.808511
10,0.309191,0.359276,0.902346,0.808511,0.808511,0.808511
1,0.658154,0.561813,0.717949,0.559140,0.565217,0.553191
2,0.559938,0.487143,0.838789,0.659341,0.681818,0.638298
3,0.476143,0.440652,0.876159,0.696629,0.738095,0.659574
4,0.428500,0.420003,0.881342,0.763636,0.666667,0.893617
5,0.402202,0.381478,0.914075,0.760870,0.777778,0.744681
6,0.361565,0.357063,0.918440,0.777778,0.813953,0.744681
7,0.317384,0.344085,0.918985,0.786517,0.833333,0.744681
8,0.269523,0.337771,0.924441,0.772727,0.829268,0.723404
9,0.258212,0.327136,0.929624,0.791209,0.818182,0.765957
10,0.268792,0.336399,0.927441,0.786517,0.833333,0.744681
1,0.642909,0.598750,0.627932,0.264706,0.428571,0.191489
2,0.571290,0.547172,0.743044,0.568966,0.478261,0.702128
3,0.535250,0.488427,0.842608,0.666667,0.603448,0.744681
4,0.476681,0.443420,0.879160,0.717391,0.733333,0.702128
5,0.407937,0.418520,0.867976,0.703297,0.727273,0.680851
6,0.361473,0.395011,0.878342,0.750000,0.734694,0.765957
7,0.303691,0.369883,0.894981,0.752688,0.760870,0.744681
8,0.279269,0.361299,0.897436,0.769231,0.795455,0.744681
9,0.271421,0.366791,0.900164,0.750000,0.734694,0.765957
10,0.236083,0.364694,0.899891,0.750000,0.734694,0.765957
1,0.616731,0.581967,0.684943,0.576923,0.526316,0.638298
2,0.536543,0.530989,0.781233,0.620000,0.584906,0.659574
3,0.466070,0.492826,0.824877,0.697248,0.612903,0.808511
4,0.401748,0.450289,0.865248,0.687500,0.673469,0.702128
5,0.361724,0.418620,0.873432,0.736842,0.729167,0.744681
6,0.289898,0.385862,0.894708,0.742268,0.720000,0.765957
7,0.255292,0.379676,0.898254,0.787879,0.750000,0.829787
8,0.208254,0.364979,0.904255,0.778947,0.770833,0.787234
9,0.215129,0.372436,0.902891,0.757895,0.750000,0.765957
10,0.210572,0.370496,0.901800,0.765957,0.765957,0.765957
1,0.661263,0.617651,0.638843,0.115385,0.600000,0.063830
2,0.588855,0.568345,0.779324,0.589474,0.583333,0.595745
3,0.538706,0.511911,0.844517,0.634146,0.742857,0.553191
4,0.492759,0.459742,0.868249,0.741573,0.785714,0.702128
5,0.419077,0.424862,0.879978,0.774194,0.782609,0.765957
1,0.639844,0.597927,0.696945,0.621212,0.482353,0.872340
2,0.609115,0.559303,0.833061,0.621622,0.851852,0.489362
3,0.551885,0.513924,0.875887,0.675000,0.818182,0.574468
4,0.493211,0.462074,0.888161,0.729412,0.815789,0.659574
5,0.433731,0.416424,0.903437,0.742268,0.720000,0.765957
6,0.412280,0.404362,0.908620,0.755556,0.790698,0.723404
7,0.353308,0.406603,0.904801,0.750000,0.804878,0.702128
8,0.328114,0.382662,0.914075,0.800000,0.837209,0.765957
9,0.304031,0.380527,0.916530,0.781609,0.850000,0.723404
10,0.295848,0.376751,0.918167,0.795455,0.853659,0.744681
1,0.637763,0.603765,0.696780,0.567376,0.408163,0.930233
2,0.608859,0.599495,0.702445,0.301887,0.800000,0.186047
3,0.572462,0.551780,0.807394,0.622222,0.595745,0.651163
4,0.540944,0.519837,0.797257,0.666667,0.742857,0.604651
5,0.485516,0.491130,0.827370,0.657143,0.851852,0.534884
6,0.439821,0.458761,0.843172,0.707317,0.743590,0.674419
7,0.375172,0.465483,0.836017,0.692308,0.771429,0.627907
8,0.355772,0.464016,0.838402,0.701299,0.794118,0.627907
9,0.323999,0.464928,0.838700,0.692308,0.771429,0.627907
1,0.642659,0.608425,0.626416,0.467290,0.390625,0.581395
2,0.611970,0.573327,0.759690,0.588235,0.595238,0.581395
3,0.556256,0.556097,0.772809,0.597701,0.590909,0.604651
4,0.531000,0.511283,0.828265,0.650000,0.702703,0.604651
5,0.493359,0.475925,0.847645,0.729412,0.738095,0.720930
6,0.452236,0.500370,0.813059,0.626866,0.875000,0.488372
7,0.387174,0.431594,0.852117,0.717949,0.800000,0.651163
8,0.360636,0.432722,0.851819,0.684211,0.787879,0.604651
9,0.339693,0.426338,0.847943,0.725000,0.783784,0.674419
10,0.325248,0.422318,0.848539,0.725000,0.783784,0.674419
1,0.640489,0.601554,0.778175,0.571429,0.422222,0.883721
2,0.609015,0.555847,0.837507,0.628571,0.814815,0.511628
3,0.560297,0.521252,0.815742,0.683544,0.750000,0.627907
1,0.647416,0.472953,0.871795,0.698795,0.725000,0.674419
2,0.429993,0.390764,0.908169,0.826087,0.775510,0.883721
3,0.278631,0.352314,0.916816,0.800000,0.809524,0.790698
4,0.215205,0.377066,0.918903,0.795181,0.825000,0.767442
5,0.140600,0.400106,0.922779,0.781609,0.772727,0.790698
6,0.094965,0.453441,0.919499,0.758621,0.750000,0.767442
1,0.598910,0.478568,0.872689,0.733333,0.702128,0.767442
2,0.443062,0.398577,0.907275,0.778947,0.711538,0.860465
3,0.303700,0.375809,0.907573,0.804598,0.795455,0.813953
4,0.192389,0.385061,0.916518,0.800000,0.809524,0.790698
5,0.135085,0.421588,0.915623,0.771084,0.800000,0.744186
6,0.115576,0.460849,0.913536,0.772727,0.755556,0.790698
1,0.534409,0.477396,0.835066,0.641026,0.641026,0.641026
2,0.358823,0.427382,0.882536,0.729412,0.673913,0.794872
3,0.266872,0.418300,0.886694,0.725000,0.707317,0.743590
4,0.177908,0.432515,0.896050,0.746988,0.704545,0.794872
5,0.100345,0.448791,0.901247,0.750000,0.731707,0.769231
6,0.072748,0.478858,0.907484,0.750000,0.731707,0.769231
1,0.511713,0.469171,0.836798,0.641026,0.641026,0.641026
2,0.325048,0.425482,0.877339,0.714286,0.666667,0.769231
3,0.211224,0.429549,0.889813,0.731707,0.697674,0.769231
4,0.133264,0.439081,0.896050,0.753247,0.763158,0.743590
5,0.081278,0.468383,0.908524,0.765432,0.738095,0.794872
1,0.534694,0.474937,0.834719,0.649351,0.657895,0.641026
2,0.353947,0.436754,0.876646,0.727273,0.653061,0.820513
3,0.220536,0.410618,0.893971,0.734177,0.725000,0.743590
4,0.145988,0.440782,0.902980,0.756098,0.720930,0.794872
5,0.087691,0.450875,0.908524,0.743590,0.743590,0.743590
6,0.054835,0.486798,0.908524,0.743590,0.743590,0.743590
